invoice_external_id,external_id,type,result,date
inv_001,trans_0001,payment,successful,2024-05-04
inv_002,trans_0002,payment,failed,2024-06-04
inv_002,trans_0003,payment,successful,2024-06-05
inv_003,trans_0004,payment,successful,2024-07-05
inv_004,trans_0005,payment,successful,2024-08-04
inv_005,trans_0006,payment,failed,2024-09-04
inv_005,trans_0007,payment,failed,2024-09-05
inv_005,trans_0008,payment,successful,2024-09-06
inv_006,trans_0009,payment,successful,2024-10-04
inv_007,trans_0010,payment,successful,2024-11-04
inv_008,trans_0011,payment,successful,2024-12-05
inv_009,trans_0012,payment,successful,2025-01-03
inv_010,trans_0013,payment,successful,2025-02-03
inv_011,trans_0014,payment,successful,2025-03-05
inv_012,trans_0015,payment,successful,2025-04-05
inv_013,trans_0016,payment,successful,2024-05-18
inv_014,trans_0017,payment,successful,2024-06-14
inv_015,trans_0018,payment,successful,2024-09-14
inv_016,trans_0019,payment,successful,2024-12-15
inv_017,trans_0020,payment,successful,2024-06-28
inv_018,trans_0021,payment,successful,2024-07-29
inv_019,trans_0022,payment,successful,2024-08-28
inv_020,trans_0023,payment,successful,2024-09-28
inv_021,trans_0024,payment,successful,2024-10-28
inv_022,trans_0025,payment,successful,2024-11-28
inv_023,trans_0026,payment,successful,2024-12-29
inv_024,trans_0027,payment,successful,2025-01-27
inv_025,trans_0028,payment,successful,2025-02-27
inv_026,trans_0029,payment,successful,2025-03-29
inv_027,trans_0030,payment,successful,2025-04-29
inv_028,trans_0031,payment,successful,2024-07-19
inv_029,trans_0032,payment,successful,2024-07-28
inv_030,trans_0033,payment,successful,2024-08-27
inv_031,trans_0034,payment,successful,2024-09-27
inv_032,trans_0035,payment,successful,2024-10-27
inv_033,trans_0036,payment,successful,2024-11-27
inv_034,trans_0037,payment,successful,2024-12-28
inv_035,trans_0038,payment,successful,2025-01-26
inv_036,trans_0039,payment,successful,2025-02-26
inv_037,trans_0040,payment,successful,2025-03-28
inv_038,trans_0041,payment,successful,2025-04-28
inv_039,trans_0042,payment,successful,2024-08-09
inv_040,trans_0043,payment,successful,2024-09-09
inv_041,trans_0044,payment,successful,2024-10-09
inv_042,trans_0045,payment,successful,2024-11-09
inv_043,trans_0046,payment,successful,2024-12-10
inv_044,trans_0047,payment,successful,2024-08-18
inv_045,trans_0048,payment,successful,2025-02-17
inv_046,trans_0049,payment,successful,2024-09-23
inv_047,trans_0050,payment,successful,2024-10-23
inv_048,trans_0051,payment,successful,2025-03-26
inv_049,trans_0052,payment,successful,2025-04-26
inv_050,trans_0053,payment,successful,2024-10-02
inv_051,trans_0054,payment,successful,2024-11-02
inv_052,trans_0055,payment,successful,2024-12-03
inv_053,trans_0056,payment,successful,2025-01-01
inv_054,trans_0057,payment,successful,2025-01-16
inv_055,trans_0058,payment,successful,2025-02-01
inv_056,trans_0059,payment,failed,2025-03-03
inv_056,trans_0060,payment,failed,2025-03-04
inv_056,trans_0061,payment,successful,2025-03-05
inv_057,trans_0062,payment,successful,2024-10-11
inv_058,trans_0063,payment,successful,2025-01-10
inv_059,trans_0064,payment,successful,2025-04-12
inv_060,trans_0065,refund,successful,2025-04-12
inv_061,trans_0066,payment,successful,2024-10-21
inv_062,trans_0067,payment,successful,2024-11-04
inv_063,trans_0068,payment,successful,2024-12-05
inv_064,trans_0069,payment,successful,2024-12-20
inv_065,trans_0070,payment,successful,2025-01-03
inv_066,trans_0071,payment,failed,2025-02-03
inv_066,trans_0072,payment,successful,2025-02-04
inv_067,trans_0073,payment,successful,2025-03-05
inv_068,trans_0074,payment,successful,2025-03-20
inv_069,trans_0075,payment,successful,2025-04-05
inv_070,trans_0076,payment,successful,2025-05-05
inv_071,trans_0077,payment,successful,2024-11-13
inv_072,trans_0078,payment,successful,2024-12-14
inv_073,trans_0079,payment,successful,2025-01-12
inv_074,trans_0080,payment,successful,2025-02-12
inv_075,trans_0081,payment,successful,2025-03-14
inv_076,trans_0082,payment,successful,2025-04-14
inv_077,trans_0083,payment,successful,2025-05-14
inv_078,trans_0084,payment,successful,2024-12-13
inv_079,trans_0085,payment,successful,2025-01-18
inv_080,trans_0086,payment,successful,2025-02-17
inv_081,trans_0087,payment,successful,2025-03-04
inv_082,trans_0088,payment,successful,2025-04-04
inv_083,trans_0089,payment,successful,2025-05-04
inv_084,trans_0090,payment,successful,2025-03-25
inv_085,trans_0091,payment,successful,2025-04-25
inv_086,trans_0092,payment,failed,2025-04-15
inv_086,trans_0093,payment,failed,2025-04-16
inv_086,trans_0094,payment,failed,2025-04-17
inv_086,trans_0095,payment,successful,2025-04-18
inv_087,trans_0096,payment,failed,2025-04-20
inv_087,trans_0097,payment,successful,2025-04-21
inv_088,trans_0098,payment,successful,2025-04-27
